#{"t_start": 1698676261.2022698, "env_id": "CliffWalking-v0"}
r,l,t
-13.0,13,28.094944
-13.0,13,28.113813
-13.0,13,28.152799
-13.0,13,28.175932
-13.0,13,28.195315
-13.0,13,28.2168
-13.0,13,28.247841
-13.0,13,28.259924
-13.0,13,28.283898
-13.0,13,28.293793
-13.0,13,28.312938
-13.0,13,28.328091
-13.0,13,28.337565
-13.0,13,28.349613
-13.0,13,28.367086
-13.0,13,28.377783
-13.0,13,28.393292
-13.0,13,28.404196
-13.0,13,28.422852
-13.0,13,28.433854
-13.0,13,28.444608
-13.0,13,28.458109
-13.0,13,28.478765
-13.0,13,28.490916
-13.0,13,28.503342
-13.0,13,28.513381
-13.0,13,28.532138
-13.0,13,28.542183
-13.0,13,28.554968
-13.0,13,28.566617
-13.0,13,28.583268
-13.0,13,28.592877
-13.0,13,28.601433
-13.0,13,28.611997
-13.0,13,28.632006
-13.0,13,28.64169
-13.0,13,28.65402
-13.0,13,28.666441
-13.0,13,28.685587
-15.0,15,28.698232
-13.0,13,28.712686
-13.0,13,28.722821
-13.0,13,28.742989
-13.0,13,28.757615
-13.0,13,28.772816
-13.0,13,28.784842
-13.0,13,28.803141
-13.0,13,28.815692
-13.0,13,28.829856
-13.0,13,28.840104
-13.0,13,28.857474
-13.0,13,28.867679
-13.0,13,28.881226
-13.0,13,28.89147
-13.0,13,28.907281
-13.0,13,28.920982
-13.0,13,28.93628
-13.0,13,28.947796
-13.0,13,28.966565
-13.0,13,28.979529
-13.0,13,28.993924
-13.0,13,29.003539
-13.0,13,29.021287
-13.0,13,29.031756
-13.0,13,29.045013
-13.0,13,29.055293
-13.0,13,29.07053
-13.0,13,29.081578
-13.0,13,29.096729
-13.0,13,29.108633
-13.0,13,29.123378
-13.0,13,29.133995
-13.0,13,29.145892
-13.0,13,29.157788
-13.0,13,29.173462
-13.0,13,29.184764
-13.0,13,29.197322
-13.0,13,29.208147
-13.0,13,29.223622
-13.0,13,29.234463
-13.0,13,29.246236
-13.0,13,29.255221
-13.0,13,29.272325
-13.0,13,29.282002
-13.0,13,29.294985
-13.0,13,29.30582
-13.0,13,29.321016
-13.0,13,29.333554
-13.0,13,29.344995
-13.0,13,29.357038
-13.0,13,29.372972
-13.0,13,29.382731
-13.0,13,29.396068
-13.0,13,29.405499
-13.0,13,29.419543
-13.0,13,29.428834
-13.0,13,29.439973
-13.0,13,29.449689
-13.0,13,29.463822
-13.0,13,29.475231
-13.0,13,29.489539
-13.0,13,29.4997
-13.0,13,29.515452
-17.0,17,29.525973
-13.0,13,29.53669
-13.0,13,29.54639
-13.0,13,29.564427
-13.0,13,29.576945
-13.0,13,29.594203
-13.0,13,29.605055
-13.0,13,29.622906
-13.0,13,29.634451
-13.0,13,29.646902
-13.0,13,29.65769
-13.0,13,29.675742
-13.0,13,29.691361
-13.0,13,29.705759
-13.0,13,29.714626
-13.0,13,29.730947
-13.0,13,29.741071
-13.0,13,29.7531
-13.0,13,29.764524
-13.0,13,29.781107
-13.0,13,29.793603
-13.0,13,29.806933
-13.0,13,29.818036
-13.0,13,29.834486
-13.0,13,29.845232
-13.0,13,29.859956
-13.0,13,29.871477
-13.0,13,29.888514
-13.0,13,29.90054
-13.0,13,29.917637
-13.0,13,29.930184
-13.0,13,29.948255
-13.0,13,29.960696
-13.0,13,29.976648
-13.0,13,29.990502
-13.0,13,30.006627
-13.0,13,30.020458
-13.0,13,30.034291
-13.0,13,30.046186
-15.0,15,30.066294
-13.0,13,30.077117
-13.0,13,30.087589
-13.0,13,30.095845
-13.0,13,30.11535
-13.0,13,30.127633
-13.0,13,30.138945
-13.0,13,30.150462
-13.0,13,30.171676
-13.0,13,30.181183
-13.0,13,30.189616
-13.0,13,30.199742
-13.0,13,30.219002
-13.0,13,30.229979
-13.0,13,30.24101
-13.0,13,30.250573
-15.0,15,30.270779
-13.0,13,30.282736
-13.0,13,30.296088
-13.0,13,30.308173
-13.0,13,30.323983
-13.0,13,30.333843
-13.0,13,30.345871
-13.0,13,30.356393
-123.0,24,30.385067
-13.0,13,30.396047
-13.0,13,30.407667
-13.0,13,30.421211
-13.0,13,30.43799
-13.0,13,30.448411
-13.0,13,30.460447
-13.0,13,30.474536
-13.0,13,30.490758
